equipo: Windows AMD64 | python 3.12.10 | torch 2.13.0+cpu | 8 hilos | RAM 15.4 GB totales, 5.7 libres
universo 2012-01-03 a 2026-08-01
panel: 3664 fechas x 275 series
  origen 0 | nivel     | H= 1 | LSTM rel 0.9967
  origen 0 | nivel     | H= 5 | LSTM rel 1.0003
  origen 0 | nivel     | H=10 | LSTM rel 0.9993
  origen 0 | nivel     | H=20 | LSTM rel 0.9971
  origen 0 | magnitud  | H= 1 | LSTM rel 0.9109
  origen 0 | magnitud  | H= 5 | LSTM rel 0.9235
  origen 0 | magnitud  | H=10 | LSTM rel 0.9259
  origen 0 | magnitud  | H=20 | LSTM rel 0.9266
  -- origen 1/12 completo | 16 min transcurridos | quedan ~174 min --
  origen 1 | nivel     | H= 1 | LSTM rel 0.9872
  origen 1 | nivel     | H= 5 | LSTM rel 0.9988
  origen 1 | nivel     | H=10 | LSTM rel 0.9971
  origen 1 | nivel     | H=20 | LSTM rel 0.9981
  origen 1 | magnitud  | H= 1 | LSTM rel 0.9442
  origen 1 | magnitud  | H= 5 | LSTM rel 0.9472
  origen 1 | magnitud  | H=10 | LSTM rel 0.9375
  origen 1 | magnitud  | H=20 | LSTM rel 0.9271
  -- origen 2/12 completo | 29 min transcurridos | quedan ~145 min --
  origen 2 | nivel     | H= 1 | LSTM rel 0.9826
  origen 2 | nivel     | H= 5 | LSTM rel 0.9963
  origen 2 | nivel     | H=10 | LSTM rel 0.9965
  origen 2 | nivel     | H=20 | LSTM rel 0.9967
  origen 2 | magnitud  | H= 1 | LSTM rel 0.9539
  origen 2 | magnitud  | H= 5 | LSTM rel 0.9734
  origen 2 | magnitud  | H=10 | LSTM rel 0.9762
  origen 2 | magnitud  | H=20 | LSTM rel 0.9781
  -- origen 3/12 completo | 45 min transcurridos | quedan ~136 min --
  origen 3 | nivel     | H= 1 | LSTM rel 1.0559
  origen 3 | nivel     | H= 5 | LSTM rel 1.0102
  origen 3 | nivel     | H=10 | LSTM rel 1.0055
  origen 3 | nivel     | H=20 | LSTM rel 1.0041
  origen 3 | magnitud  | H= 1 | LSTM rel 1.0284
  origen 3 | magnitud  | H= 5 | LSTM rel 0.9837
  origen 3 | magnitud  | H=10 | LSTM rel 0.9908
  origen 3 | magnitud  | H=20 | LSTM rel 1.0038
  -- origen 4/12 completo | 62 min transcurridos | quedan ~124 min --
  origen 4 | nivel     | H= 1 | LSTM rel 0.9963
  origen 4 | nivel     | H= 5 | LSTM rel 1.0074
  origen 4 | nivel     | H=10 | LSTM rel 1.0018
  origen 4 | nivel     | H=20 | LSTM rel 1.0037
  origen 4 | magnitud  | H= 1 | LSTM rel 0.9680
  origen 4 | magnitud  | H= 5 | LSTM rel 0.9343
  origen 4 | magnitud  | H=10 | LSTM rel 0.9342
  origen 4 | magnitud  | H=20 | LSTM rel 0.9387
  -- origen 5/12 completo | 75 min transcurridos | quedan ~105 min --
  origen 5 | nivel     | H= 1 | LSTM rel 1.0038
  origen 5 | nivel     | H= 5 | LSTM rel 1.0046
  origen 5 | nivel     | H=10 | LSTM rel 1.0059
  origen 5 | nivel     | H=20 | LSTM rel 1.0046
  origen 5 | magnitud  | H= 1 | LSTM rel 0.9731
  origen 5 | magnitud  | H= 5 | LSTM rel 0.9490
  origen 5 | magnitud  | H=10 | LSTM rel 0.9453
  origen 5 | magnitud  | H=20 | LSTM rel 0.9432
  -- origen 6/12 completo | 95 min transcurridos | quedan ~95 min --
  origen 6 | nivel     | H= 1 | LSTM rel 0.9929
  origen 6 | nivel     | H= 5 | LSTM rel 1.0033
  origen 6 | nivel     | H=10 | LSTM rel 1.0026
  origen 6 | nivel     | H=20 | LSTM rel 1.0025
  origen 6 | magnitud  | H= 1 | LSTM rel 0.9637
  origen 6 | magnitud  | H= 5 | LSTM rel 0.9450
