origen,prueba_desde,tarea,H,metodo,semilla,mase_medio,mase_mediano,mase_rel_medio,mase_rel_mediano,ic95,n_series,n_entrena,n_prueba,epocas,mejor_epoca,grad_inicio,grad_final,parametro
0,2020-07-24,nivel,1,cero,,1.3411999940872192,1.2934859991073608,1.0,1.0,0.0,273,107019,6825,,,,,
0,2020-07-24,nivel,1,constante optima,,1.3247284889221191,1.285351037979126,0.9863473773002625,0.9873788952827454,0.002298299373369801,273,107019,6825,,,,,0.09510450065135956
0,2020-07-24,nivel,1,deriva,,1.3441599607467651,1.2931402921676636,0.9995774626731873,1.0037658214569092,0.004104067678749665,273,107019,6825,,,,,
0,2020-07-24,nivel,1,regresion agrupada (L2),,1.3546475172042847,1.306048035621643,1.007369041442871,1.007025957107544,0.005318808577900967,273,107019,6825,,,,,
0,2020-07-24,nivel,1,regresion agrupada (L1),,1.346926212310791,1.2946357727050781,1.0010581016540527,1.002617359161377,0.004549379197388456,273,107019,6825,,,,,
0,2020-07-24,nivel,5,cero,,1.4513500928878784,1.361945390701294,1.0,1.0,0.0,273,106746,6552,,,,,
0,2020-07-24,nivel,5,constante optima,,1.4483921527862549,1.3620471954345703,0.997704803943634,0.9980022311210632,0.0005809325004941921,273,106746,6552,,,,,0.05621847324073315
0,2020-07-24,nivel,5,deriva,,1.4625948667526245,1.3740562200546265,1.0072641372680664,1.0087910890579224,0.0015257972454818562,273,106746,6552,,,,,
0,2020-07-24,nivel,5,regresion agrupada (L2),,1.4512778520584106,1.374145746231079,0.9999644756317139,0.9998365640640259,0.0018189532629150343,273,106746,6552,,,,,
0,2020-07-24,nivel,5,regresion agrupada (L1),,1.4451510906219482,1.3670189380645752,0.9957137703895569,0.9953345060348511,0.001654523005675123,273,106746,6552,,,,,
0,2020-07-24,nivel,10,cero,,1.4538339376449585,1.3693162202835083,1.0,1.0,0.0,273,106473,6279,,,,,
0,2020-07-24,nivel,10,constante optima,,1.4508190155029297,1.3680322170257568,0.9976520538330078,0.9979779124259949,0.0005842774402803102,273,106473,6279,,,,,0.05604325048625469
0,2020-07-24,nivel,10,deriva,,1.4634332656860352,1.3764761686325073,1.0061116218566895,1.0077035427093506,0.0015039681919987247,273,106473,6279,,,,,
0,2020-07-24,nivel,10,regresion agrupada (L2),,1.4547410011291504,1.3781633377075195,1.0009433031082153,1.0001611709594727,0.0017092585377194347,273,106473,6279,,,,,
0,2020-07-24,nivel,10,regresion agrupada (L1),,1.450001835823059,1.3737285137176514,0.9975425004959106,0.9965899586677551,0.0015469370529931858,273,106473,6279,,,,,
0,2020-07-24,nivel,20,cero,,1.4556406736373901,1.3625493049621582,1.0,1.0,0.0,273,106200,6006,,,,,
0,2020-07-24,nivel,20,constante optima,,1.4531842470169067,1.3589863777160645,0.9980361461639404,0.9984710216522217,0.0005725454908135993,273,106200,6006,,,,,0.056484416127204895
0,2020-07-24,nivel,20,deriva,,1.4645086526870728,1.3730806112289429,1.005558729171753,1.0064197778701782,0.0014792025718948093,273,106200,6006,,,,,
0,2020-07-24,nivel,20,regresion agrupada (L2),,1.4593349695205688,1.3745745420455933,1.00315260887146,1.0030263662338257,0.001690606170896331,273,106200,6006,,,,,
0,2020-07-24,nivel,20,regresion agrupada (L1),,1.4548330307006836,1.3682578802108765,0.9999029636383057,0.9981725811958313,0.0015235828426974094,273,106200,6006,,,,,
1,2021-01-25,nivel,1,cero,,1.167648434638977,1.1296980381011963,1.0,1.0,0.0,274,113900,6850,,,,,
1,2021-01-25,nivel,1,constante optima,,1.1648880243301392,1.1220381259918213,0.9972572922706604,0.9970555305480957,0.0023250679577644234,274,113900,6850,,,,,0.07725931704044342
1,2021-01-25,nivel,1,deriva,,1.1719716787338257,1.1315958499908447,1.0030359029769897,1.0046433210372925,0.004010334492965796,274,113900,6850,,,,,
1,2021-01-25,nivel,1,regresion agrupada (L2),,1.1788642406463623,1.1508865356445312,1.0167731046676636,1.0114245414733887,0.008524460067573097,274,113900,6850,,,,,
1,2021-01-25,nivel,1,regresion agrupada (L1),,1.1694748401641846,1.1262977123260498,1.0055228471755981,1.00209379196167,0.0057124212656299135,274,113900,6850,,,,,
1,2021-01-25,nivel,5,cero,,1.090306282043457,1.0581287145614624,1.0,1.0,0.0,274,113626,6576,,,,,
1,2021-01-25,nivel,5,constante optima,,1.086676836013794,1.0542523860931396,0.9965180158615112,0.9964656829833984,0.000637374000718055,274,113626,6576,,,,,0.046162039041519165
1,2021-01-25,nivel,5,deriva,,1.0914496183395386,1.068528175354004,1.001502275466919,1.0015268325805664,0.001752024686893081,274,113626,6576,,,,,
1,2021-01-25,nivel,5,regresion agrupada (L2),,1.1225608587265015,1.094374179840088,1.030707836151123,1.0295660495758057,0.0035210802608731354,274,113626,6576,,,,,
1,2021-01-25,nivel,5,regresion agrupada (L1),,1.0969868898391724,1.068135142326355,1.0069307088851929,1.0083043575286865,0.0022585269822344447,274,113626,6576,,,,,
1,2021-01-25,nivel,10,cero,,1.0739386081695557,1.0438916683197021,1.0,1.0,0.0,274,113352,6302,,,,,
1,2021-01-25,nivel,10,constante optima,,1.06963312625885,1.0399670600891113,0.9958372712135315,0.9958243370056152,0.0006547234503510685,274,113352,6302,,,,,0.046095602214336395
1,2021-01-25,nivel,10,deriva,,1.0751837491989136,1.0484809875488281,1.0015937089920044,1.002078890800476,0.0018234124042044281,274,113352,6302,,,,,
