origen,prueba_desde,tarea,H,metodo,semilla,mase_medio,mase_mediano,mase_rel_medio,mase_rel_mediano,ic95,n_series,n_entrena,n_prueba,epocas,mejor_epoca,grad_inicio,grad_final
0,2020-07-24,nivel,1,cero,,1.3378381729125977,1.2926095724105835,1.0,1.0,0.0,271,106233,6775,,,,
0,2020-07-24,nivel,1,deriva,,1.3407609462738037,1.2928767204284668,0.9995342493057251,1.0037659406661987,0.004133409374546563,271,106233,6775,,,,
0,2020-07-24,nivel,1,ingenua,,2.0466392040252686,1.9850419759750366,1.5647062063217163,1.5415291786193848,0.030116127607547227,271,106233,6775,,,,
0,2020-07-24,nivel,1,regresion agrupada,,1.3499417304992676,1.305263638496399,1.0066287517547607,1.0066790580749512,0.005326173723736443,271,106233,6775,,,,
0,2020-07-24,nivel,1,LSTM,0.0,1.3337546586990356,1.277721643447876,0.9950408339500427,0.9946756362915039,0.005202634610080433,271,106233,6775,16.0,9.0,0.06627953846725713,0.23583009262760002
0,2020-07-24,nivel,1,LSTM,1.0,1.3353056907653809,1.2682600021362305,0.9967246055603027,0.9941806793212891,0.005832401673229453,271,106233,6775,13.0,6.0,0.06592462530909443,0.22030919510197927
0,2020-07-24,nivel,5,cero,,1.4467647075653076,1.3618860244750977,1.0,1.0,0.0,271,105962,6504,,,,
0,2020-07-24,nivel,5,deriva,,1.4580268859863281,1.3713995218276978,1.007285714149475,1.0089093446731567,0.0015367678955173327,271,105962,6504,,,,
0,2020-07-24,nivel,5,ingenua,,2.1531982421875,2.088016986846924,1.5000848770141602,1.4819755554199219,0.017247025189409293,271,105962,6504,,,,
0,2020-07-24,nivel,5,regresion agrupada,,1.446805477142334,1.3736261129379272,1.0000299215316772,0.9998325109481812,0.001832182339855103,271,105962,6504,,,,
0,2020-07-24,nivel,5,LSTM,0.0,1.4431610107421875,1.3598647117614746,0.9967999458312988,0.9972561597824097,0.0013195975299398494,271,105962,6504,9.0,2.0,0.0335866872081758,0.07013127788145473
0,2020-07-24,nivel,5,LSTM,1.0,1.4490834474563599,1.3632194995880127,1.0003358125686646,1.0008118152618408,0.001648060135470329,271,105962,6504,10.0,3.0,0.034347768609776445,0.07726481167266622
0,2020-07-24,nivel,10,cero,,1.449131727218628,1.368302822113037,1.0,1.0,0.0,271,105691,6233,,,,
0,2020-07-24,nivel,10,deriva,,1.4587310552597046,1.3743654489517212,1.0061227083206177,1.007814884185791,0.0015150044005407069,271,105691,6233,,,,
0,2020-07-24,nivel,10,ingenua,,2.174896478652954,2.1071577072143555,1.512848973274231,1.5011042356491089,0.01673056145227544,271,105691,6233,,,,
0,2020-07-24,nivel,10,regresion agrupada,,1.4502650499343872,1.375098705291748,1.0010732412338257,1.0004189014434814,0.001718466364415565,271,105691,6233,,,,
0,2020-07-24,nivel,10,LSTM,0.0,1.4449377059936523,1.3663917779922485,0.9965316653251648,0.9963822364807129,0.0009401885611686322,271,105691,6233,8.0,1.0,0.025151904640814005,0.05283670124685793
0,2020-07-24,nivel,10,LSTM,1.0,1.4492369890213013,1.3696123361587524,0.9993222951889038,0.9989748001098633,0.00111071398399258,271,105691,6233,10.0,3.0,0.024234106836357936,0.06793553383962295
0,2020-07-24,nivel,20,cero,,1.4507114887237549,1.361664056777954,1.0,1.0,0.0,271,105420,5962,,,,
0,2020-07-24,nivel,20,deriva,,1.4596154689788818,1.3719820976257324,1.0055842399597168,1.0064212083816528,0.0014895268344494869,271,105420,5962,,,,
0,2020-07-24,nivel,20,ingenua,,2.1328346729278564,2.0567896366119385,1.4831520318984985,1.4690614938735962,0.017334221282745192,271,105420,5962,,,,
0,2020-07-24,nivel,20,regresion agrupada,,1.4547752141952515,1.3745070695877075,1.003373384475708,1.0030908584594727,0.0016943729333417047,271,105420,5962,,,,
0,2020-07-24,nivel,20,LSTM,0.0,1.446943998336792,1.356451392173767,0.9970371127128601,0.9970197677612305,0.0007483926841870029,271,105420,5962,7.0,0.0,0.019407857754222543,0.03352735881033598
0,2020-07-24,nivel,20,LSTM,1.0,1.4470163583755493,1.3547698259353638,0.9971247911453247,0.9975360035896301,0.0006543826705578047,271,105420,5962,7.0,0.0,0.019014242475906624,0.03524873754262779
0,2020-07-24,magnitud,1,volatilidad reciente,,1.393729567527771,1.3276172876358032,1.0,1.0,0.0,271,106233,6775,,,,
0,2020-07-24,magnitud,1,persistencia,,1.784794569015503,1.7211778163909912,1.2975528240203857,1.2768357992172241,0.029704626857967036,271,106233,6775,,,,
0,2020-07-24,magnitud,1,regresion agrupada,,1.2952723503112793,1.2410471439361572,0.9346618056297302,0.9429723620414734,0.007971287083805631,271,106233,6775,,,,
0,2020-07-24,magnitud,1,LSTM,0.0,1.2576195001602173,1.1962108612060547,0.9043712019920349,0.9034494161605835,0.012854381458250859,271,106233,6775,8.0,1.0,0.1876144769006824,0.17544390623828016
0,2020-07-24,magnitud,1,LSTM,1.0,1.268281102180481,1.2184990644454956,0.9109143614768982,0.9025627970695496,0.013293396997088099,271,106233,6775,17.0,10.0,0.1516189612246242,0.167560910406601
0,2020-07-24,magnitud,5,volatilidad reciente,,1.4802296161651611,1.3903918266296387,1.0,1.0,0.0,271,105962,6504,,,,
0,2020-07-24,magnitud,5,persistencia,,1.8685100078582764,1.7945042848587036,1.2758654356002808,1.2617707252502441,0.01916940531620575,271,105962,6504,,,,
0,2020-07-24,magnitud,5,regresion agrupada,,1.3741545677185059,1.3198165893554688,0.9338802099227905,0.9374423027038574,0.004678411660737763,271,105962,6504,,,,
0,2020-07-24,magnitud,5,LSTM,0.0,1.3776789903640747,1.3025926351547241,0.9305404424667358,0.9278664588928223,0.005794919029930935,271,105962,6504,8.0,1.0,0.09595374470342688,0.08292654760919763
0,2020-07-24,magnitud,5,LSTM,1.0,1.3655282258987427,1.2997602224349976,0.9235242605209351,0.9242724180221558,0.005543350199286209,271,105962,6504,24.0,17.0,0.1005286088951184,0.07892508205512296
0,2020-07-24,magnitud,10,volatilidad reciente,,1.4868905544281006,1.4106234312057495,1.0,1.0,0.0,271,105691,6233,,,,
0,2020-07-24,magnitud,10,persistencia,,1.8975555896759033,1.8200839757919312,1.2913986444473267,1.2740020751953125,0.019300088118936888,271,105691,6233,,,,
0,2020-07-24,magnitud,10,regresion agrupada,,1.3787484169006348,1.3087263107299805,0.9331386685371399,0.9352205991744995,0.004688994585322385,271,105691,6233,,,,
